concept,links,dep_articles
Tensor operator,"[(3, 'Pure mathematics', 0, 0), (12, 'Applied mathematics', 0, 0), (33, 'Quantum mechanics', 0, 0), (55, 'Computer graphics', 0, 0), (118, 'Operator (mathematics)', 0, 0), (138, 'Scalar (mathematics)', 0, 0), (150, 'Vector (mathematics and physics)', 0, 0), (245, 'Spherical basis', 0, 1), (265, 'Spherical harmonics', 0, 1), (344, 'Angular momentum', 0, 2), (420, 'Coordinate-free', 0, 3)]","['Pure mathematics', 'Applied mathematics', 'Quantum mechanics', 'Computer graphics', 'Operator (mathematics)']"
Tetrahedron,"[(526, 'Geometry', 2, 2), (629, 'Polyhedron', 2, 2), (604, 'Triangular', 2, 2), (668, 'Face (geometry)', 2, 2), (688, 'Edge (geometry)', 2, 2), (704, 'Vertex (geometry)', 2, 2), (772, 'Convex polytope', 2, 2), (816, 'Three-dimensional', 3, 1), (872, 'Euclidean geometry', 3, 1), (882, 'Simplex', 3, 1), (963, 'Pyramid (geometry)', 4, 2), (1006, 'Polygon', 4, 2), (1250, 'Convex polyhedra', 5, 2), (1342, 'Net (polyhedron)', 5, 2), (1405, 'Circumsphere', 6, 1), (1475, 'Insphere', 6, 1), (1485, 'Tangent', 6, 1)]","['Polyhedron', 'Triangular', 'Face (geometry)', 'Edge (geometry)', 'Vertex (geometry)']"
Theorem,"[(3, 'Mathematics', 0, 0), (31, 'Statement (logic)', 0, 0), (55, 'Mathematical proof', 0, 0), (118, 'Logical argument', 0, 1), (170, 'Deductive system', 0, 1), (222, 'Logical consequence', 0, 1), (249, 'Axiom', 0, 1), (436, 'Zermelo%E2%80%93Fraenkel set theory', 1, 2), (473, 'Axiom of choice', 1, 2), (528, 'Peano arithmetic', 1, 2), (569, 'Wiles%27s proof of Fermat%27s Last Theorem', 1, 2), (628, 'Grothendieck universe', 1, 3), (1026, 'Mathematical logic', 2, 6), (1092, 'Formal system', 2, 6), (1191, 'Well-formed formula', 2, 6), (1220, 'Formal language', 2, 6), (1239, 'Theory (mathematical logic)', 2, 6), (1495, 'Proof theory', 2, 6), (1589, 'G%C3%B6del%27s incompleteness theorems', 2, 6), (1637, 'Consistency', 2, 6), (1870, 'Physical world', 3, 1), (1974, 'Scientific law', 3, 1), (2067, 'Deductive', 3, 1)]","['Statement (logic)', 'Mathematical proof']"
Theory of relativity,"[(63, 'Physics', 1, 0), (83, 'Albert Einstein', 1, 0), (100, 'Special relativity', 1, 0), (123, 'General relativity', 1, 0), (272, 'Gravity', 1, 1), (395, 'Cosmological', 1, 3), (480, 'Theoretical physics', 2, 2), (504, 'Astronomy', 2, 2), (566, 'Classical mechanics', 2, 3), (607, 'Isaac Newton', 2, 3), (665, 'Dimension', 2, 3), (677, 'Spacetime', 2, 4), (677, 'Space', 2, 4), (682, 'Time in physics', 2, 4), (726, 'Relativity of simultaneity', 2, 4), (754, 'Kinematics', 2, 4), (768, 'Gravity', 2, 4), (782, 'Time dilation', 2, 4), (801, 'Length contraction', 2, 4), (881, 'Elementary particles', 2, 4), (965, 'Atomic age', 2, 4), (995, 'Physical cosmology', 2, 4), (1009, 'Astrophysics', 2, 4), (1046, 'Astronomy', 2, 4), (1077, 'Neutron stars', 2, 4), (1092, 'Black holes', 2, 4), (1109, 'Gravitational waves', 2, 4)]","['Special relativity', 'General relativity']"
Thermal conduction,"[(35, 'Heat', 0, 0), (43, 'Heat transfer', 0, 0), (238, 'Temperature gradient', 1, 4), (343, 'Hotplate', 1, 4), (238, 'Temperature', 1, 4), (561, 'Thermal equilibrium', 1, 5), (732, 'Thermal radiation', 2, 5), (901, 'Solids', 2, 7), (1024, 'Phonon', 2, 7), (1065, 'Free electron model', 2, 7), (1084, 'Gas', 2, 7), (1094, 'Liquid', 2, 7), (1037, 'Molecular diffusion', 2, 7), (1179, 'Random motion', 2, 7), (1194, 'Photons', 2, 7), (1276, 'Electromagnetic radiation', 2, 7), (1582, 'Thermal radiation', 3, 2), (1601, 'Convection (heat transfer)', 3, 2), (1627, 'Mass transfer', 3, 2)]","['Heat', 'Heat transfer']"
Thompson sampling,"[(40, 'William R. Thompson', 0, 0), (66, 'Heuristic', 0, 1), (116, '/w/index.php?title=Exploration-exploitation dilemma&action=edit&redlink=1', 0, 1), (156, 'Multi-armed bandit', 0, 1)]",['William R. Thompson']
Three-dimensional space,"[(3, 'Geometry', 0, 0), (98, 'Mathematical space', 0, 0), (183, 'Position (geometry)', 0, 0), (197, 'Point (geometry)', 0, 0), (268, 'Euclidean n-space', 0, 1), (21, 'Dimension', 0, 0), (315, 'Physical space', 0, 1), (408, 'Tuple', 1, 2), (419, 'Real number', 1, 2), (452, 'Cartesian coordinates', 1, 2), (706, 'Cartesian coordinate system', 1, 4), (903, 'Universe', 1, 5), (918, 'Relativity theory', 1, 5), (975, 'Matter', 1, 5), (1173, '3-manifold', 1, 6), (462, 'Coordinate system', 1, 2), (1346, 'Vector space', 1, 7), (1401, 'Two-dimensional space', 1, 7), (1410, 'Plane (geometry)', 1, 7)]","['Mathematical space', 'Position (geometry)', 'Point (geometry)', 'Dimension']"
Trajectory,"[(48, 'Physical body', 0, 0), (60, 'Mass', 0, 0), (68, 'Motion (physics)', 0, 0), (91, 'Space', 0, 0), (123, 'Classical mechanics', 0, 1), (171, 'Hamiltonian mechanics', 0, 1), (197, 'Canonical coordinates', 0, 1), (276, 'Momentum', 0, 1), (322, 'Projectile', 1, 2), (338, 'Satellite', 1, 2), (378, 'Orbit', 1, 2), (400, 'Planet', 1, 2), (408, 'Asteroid', 1, 2), (421, 'Comet', 1, 2), (450, 'Primary (astronomy)', 1, 2), (467, 'Control theory', 2, 4), (521, 'State (controls)', 2, 4), (533, 'Dynamical system', 2, 4), (560, 'Poincar%C3%A9 map', 2, 4), (578, 'Discrete mathematics', 2, 4)]","['Physical body', 'Mass', 'Motion (physics)', 'Space']"
Transition kernel,"[(7, 'Probability theory', 0, 0), (70, 'Function (mathematics)', 0, 0), (169, 'Random measure', 0, 1), (188, 'Stochastic process', 0, 1), (256, 'Markov kernel', 0, 2)]","['Probability theory', 'Function (mathematics)']"
Transitive relation,"[(711, 'Mathematics', 1, 2), (726, 'Relation on a set', 1, 2), (869, 'Partial order', 1, 2), (899, 'Equivalence relation', 1, 2)]","['Relation on a set', 'Partial order', 'Equivalence relation']"
Translation (geometry),"[(3, 'Euclidean geometry', 0, 0), (42, 'Geometric transformation', 0, 0), (130, 'Distance geometry', 0, 0), (229, 'Vector space', 0, 1), (271, 'Origin (mathematics)', 0, 1), (285, 'Coordinate system', 0, 1), (309, 'Euclidean space', 0, 2), (348, 'Isometry', 0, 2)]","['Geometric transformation', 'Distance geometry']"
Triangulation,"[(3, 'Trigonometry', 0, 0), (20, 'Geometry', 0, 0), (109, 'Triangle', 0, 0)]","['Trigonometry', 'Triangle']"
Trigonometric interpolation,"[(3, 'Mathematics', 0, 0), (30, 'Interpolation', 0, 0), (66, 'Trigonometric polynomial', 0, 0), (174, 'Data points', 0, 1), (290, 'Trigonometric function', 0, 2), (378, 'Periodic function', 0, 3), (517, 'Discrete Fourier transform', 1, 1)]","['Interpolation', 'Trigonometric polynomial']"
Turner syndrome,"[(618, 'Genetic disorder', 1, 5), (646, 'Female', 1, 5), (691, 'X chromosome', 1, 5), (779, 'Webbed neck', 1, 6), (792, 'Low-set ears', 1, 6), (844, 'Short stature', 1, 6), (863, 'Edema', 1, 7), (934, 'Amenorrhea', 1, 7), (971, 'Breasts', 1, 7), (987, 'Hormone replacement therapy', 1, 7), (1013, 'Infertile', 1, 7), (1045, 'Reproductive technology', 1, 7), (1073, 'Congenital heart defect', 1, 7), (1088, 'Diabetes mellitus', 1, 7), (1102, 'Hypothyroidism', 1, 7), (1269, 'Spatial visualization', 1, 7), (1328, 'Mathematics', 1, 7), (1442, 'Heredity', 2, 6), (1495, 'Reproductive cells', 2, 6), (1532, 'Human embryonic development', 2, 6), (1621, 'Mother%27s age', 2, 6), (1886, 'Mosaicism', 2, 6), (2024, 'Genetic test', 2, 6), (2122, 'Human growth hormone', 3, 5), (2201, 'Estrogen replacement therapy', 3, 5), (2261, 'Breast development', 3, 5), (2688, 'Henry Turner (endocrinologist)', 4, 5)]","['Genetic disorder', 'Female', 'X chromosome']"
Uncorrelatedness (probability theory),"[(3, 'Probability theory', 0, 0), (26, 'Statistics', 0, 0), (54, 'Random variable', 0, 0), (167, 'Covariance', 0, 0), (475, 'Pearson correlation coefficient', 1, 2), (590, 'Variance', 1, 2), (708, 'Orthogonality', 2, 2), (845, 'Covariance', 2, 2), (972, 'If and only if', 2, 2), (1120, 'Statistical independence', 3, 3), (1145, 'Second moment', 3, 3)]","['Probability theory', 'Random variable', 'Covariance']"
Unit circle,"[(284, 'Mathematics', 1, 2), (304, 'Circle', 1, 2), (331, 'Radius', 1, 2), (392, 'Trigonometry', 1, 3), (485, 'Cartesian coordinate system', 1, 3), (520, 'Euclidean plane', 1, 3), (540, 'Topology', 1, 3), (613, 'N-sphere', 1, 3), (741, 'Right triangle', 2, 3), (800, 'Pythagorean theorem', 2, 3), (1204, 'Unit disk', 4, 1), (1411, 'Riemannian circle', 5, 1), (1449, 'Norm (mathematics)', 5, 1)]","['Circle', 'Radius']"
Unit cube,"[(7, 'Cube', 0, 0)]",['Cube']
Unit fraction,"[(21, 'Rational number', 0, 0), (7, 'Fraction (mathematics)', 0, 0), (69, 'Numerator', 0, 0), (82, '1 (number)', 0, 0), (94, 'Denominator', 0, 0), (120, 'Integer', 0, 0), (163, 'Multiplicative inverse', 0, 1)]","['Rational number', 'Fraction (mathematics)', 'Numerator', '1 (number)', 'Denominator']"
Unit square,"[(3, 'Mathematics', 0, 0), (23, 'Square (geometry)', 0, 0), (134, 'Cartesian coordinate system#Cartesian coordinates in two dimensions', 0, 1)]",['Square (geometry)']
Universal approximation theorem,"[(7, 'Mathematics', 0, 0), (30, 'Artificial neural networks', 0, 0), (128, 'Dense set', 0, 0), (302, 'Feedforward neural network', 0, 1), (376, 'Euclidean space', 0, 1), (439, 'Compact convergence', 0, 1), (522, 'Non-Euclidean space', 1, 2), (662, 'Convolutional neural network', 1, 2)]","['Artificial neural networks', 'Dense set']"
Variance,"[(3, 'Probability theory', 0, 0), (26, 'Statistics', 0, 0), (54, 'Expected value', 0, 0), (81, 'Deviation (statistics)', 0, 0), (96, 'Random variable', 0, 0), (121, 'Population mean', 0, 0), (140, 'Sample mean', 0, 0), (178, 'Statistical dispersion', 0, 1), (362, 'Descriptive statistics', 0, 2), (386, 'Statistical inference', 0, 2), (409, 'Hypothesis testing', 0, 2), (429, 'Goodness of fit', 0, 2), (450, 'Monte Carlo method', 0, 2), (599, 'Standard deviation', 0, 4), (630, 'Central moment', 0, 4), (650, 'Probability distribution', 0, 4), (672, 'Covariance', 0, 4), (1142, 'Average absolute deviation', 1, 2), (1658, 'Probability distribution', 2, 8)]","['Probability theory', 'Expected value', 'Deviation (statistics)', 'Random variable', 'Population mean']"
Variance swap,"[(22, 'Over-the-counter (finance)', 0, 0), (39, 'Financial derivative', 0, 0), (79, 'Speculation', 0, 0), (95, 'Hedge (finance)', 0, 0), (101, 'Risk', 0, 0), (155, 'Volatility (finance)', 0, 2), (175, 'Underlying', 0, 2), (203, 'Exchange rate', 0, 2), (218, 'Interest rate', 0, 2), (236, 'Stock index', 0, 2), (312, 'Variance', 1, 2), (420, 'Logarithm', 1, 3), (424, 'Return (finance)', 1, 3), (547, 'Strike (finance)', 1, 3), (615, 'Counterparty', 1, 4), (694, 'Cash', 1, 4), (847, 'Margin (finance)', 1, 4)]","['Over-the-counter (finance)', 'Financial derivative', 'Speculation', 'Hedge (finance)', 'Risk']"
Vector calculus,"[(1813, 'Derivative', 1, 5), (1833, 'Integral', 1, 5), (1848, 'Vector field', 1, 5), (1890, 'Euclidean space', 1, 5), (2046, 'Multivariable calculus', 1, 5), (2109, 'Partial derivative', 1, 5), (2137, 'Multiple integral', 1, 5), (2203, 'Differential geometry', 1, 5), (2245, 'Partial differential equation', 1, 5), (2304, 'Physics', 1, 5), (2316, 'Engineering', 1, 5), (2362, 'Electromagnetic field', 1, 5), (2386, 'Gravitational field', 1, 5), (2412, 'Fluid flow', 1, 5), (2459, 'Quaternion', 2, 3), (2482, 'J. Willard Gibbs', 2, 3), (2503, 'Oliver Heaviside', 2, 3), (2624, 'Edwin Bidwell Wilson', 2, 3), (2713, 'Cross products', 2, 3), (2821, 'Geometric algebra', 2, 3), (2850, 'Exterior product', 2, 3), (2878, '#Generalizations', 2, 3)]","['Derivative', 'Integral', 'Euclidean space', 'Multivariable calculus', 'Multiple integral']"
Vector graphics,"[(30, 'Computer graphics', 1, 0), (97, 'Geometric primitive', 1, 0), (127, 'Cartesian coordinate system', 1, 0), (152, 'Point (geometry)', 1, 0), (160, 'Line segment', 1, 0), (167, 'Curve', 1, 0), (178, 'Polygon', 1, 0), (364, 'Graphic art software', 1, 1), (389, 'Computer-aided design', 1, 1), (416, 'Geographic information system', 1, 1), (486, 'Raster graphics', 1, 2), (936, 'Engineering', 2, 3), (949, 'Architecture', 2, 3), (963, 'Surveying', 2, 3), (974, '3D rendering', 2, 3), (992, 'Typography', 2, 3), (1059, 'Photography', 2, 3), (1075, 'Remote sensing', 2, 3), (1212, 'Graphic design', 2, 3), (1344, 'Analytic geometry', 3, 2), (1435, 'Euclidean vector', 3, 2)]","['Computer graphics', 'Cartesian coordinate system', 'Point (geometry)', 'Line segment', 'Curve']"
Versine,"[(397, 'Trigonometric function', 2, 2), (451, 'Sanskrit', 2, 2), (460, '%C4%80ryabha%E1%B9%ADa%27s sine table', 2, 2), (487, 'Trigonometric table', 2, 2), (548, 'Cosine', 2, 2), (698, 'Haversine formula', 3, 2)]","['Trigonometric function', 'Sanskrit', '%C4%80ryabha%E1%B9%ADa%27s sine table', 'Trigonometric table', 'Cosine']"
Vertex (graph theory),"[(3, 'Discrete mathematics', 0, 0), (50, 'Graph theory', 0, 0), (154, 'Graph (discrete mathematics)#Graph', 0, 0), (214, 'Edge (graph theory)', 0, 0), (156, 'Directed graph', 0, 0), (611, 'Mathematical object', 1, 1), (738, 'Semantic network', 1, 1), (1054, 'Neighborhood (graph theory)', 2, 3), (1087, 'Induced subgraph', 2, 3)]","['Discrete mathematics', 'Graph theory', 'Graph (discrete mathematics)#Graph', 'Edge (graph theory)']"
Vibration,"[(1668, 'Oscillation', 1, 3), (1696, 'Equilibrium point', 1, 3), (1803, 'Periodic function', 1, 3), (1849, 'Random', 1, 3), (1963, 'Tuning fork', 2, 1), (1980, 'Reed (music)', 2, 1), (1990, 'Woodwind instrument', 2, 1), (2013, 'Harmonica', 2, 1), (2026, 'Mobile phone', 2, 1), (2057, 'Loudspeaker', 2, 1), (2128, 'Energy', 3, 4), (2157, 'Sound', 3, 4), (2204, 'Engine', 3, 4), (2213, 'Electric motor', 3, 4), (2237, 'Machine', 3, 4), (2327, 'Engine balance', 3, 4), (2368, 'Friction', 3, 4), (2396, 'Gear', 3, 4), (2538, 'Wave', 4, 7), (2589, 'Vocal cords', 4, 7), (2674, 'Ear drum', 4, 7), (2762, 'Machining vibrations', 5, 1), (2812, 'Subtractive manufacturing', 5, 1)]","['Oscillation', 'Equilibrium point', 'Periodic function', 'Random']"
Victorian era,"[(2454, 'History of the United Kingdom', 2, 2), (2492, 'British Empire', 2, 2), (2544, 'Queen Victoria', 2, 2), (2643, 'Georgian era', 2, 2), (2676, 'Edwardian era', 2, 2), (2862, 'Nonconformist (Protestantism)', 3, 4), (2898, 'Methodists', 3, 4), (2917, 'Evangelical Anglicanism', 3, 4), (2953, 'Church of England', 3, 4), (3033, 'Rationalism', 3, 4), (3110, 'Romanticism', 3, 4), (3131, 'Mysticism', 3, 4), (3747, 'Demography of England', 4, 11), (3773, 'Demography of Wales', 4, 11), (3852, 'Demography of Scotland', 4, 11), (3954, 'Irish population analysis', 4, 11), (4086, 'Great Famine (Ireland)', 4, 11), (4553, 'International relations of the Great Powers (1814%E2%80%931919)', 5, 6), (4619, 'Crimean War', 5, 6), (4639, 'The Great Game', 5, 6), (4845, 'British Empire', 5, 6), (4864, 'List of largest empires', 5, 6), (5208, 'Whig (British political faction)', 6, 3), (5231, 'Conservative Party (UK)', 6, 3), (5262, 'Labour Party (UK)', 6, 3), (5372, 'William Lamb, 2nd Viscount Melbourne', 6, 3), (5388, 'Robert Peel', 6, 3), (5405, 'Edward Smith-Stanley, 14th Earl of Derby', 6, 3), (5417, 'Henry John Temple, 3rd Viscount Palmerston', 6, 3), (5434, 'Benjamin Disraeli', 6, 3), (5453, 'William Ewart Gladstone', 6, 3), (5476, 'Robert Cecil, 3rd Marquess of Salisbury', 6, 3), (5526, 'Irish Home Rule movement', 6, 3)]",['British Empire']
Volume,"[(431, 'Measure (mathematics)', 1, 5), (442, 'Three-dimensional space', 1, 5), (511, 'SI derived unit', 1, 5), (541, 'Cubic metre', 1, 6), (557, 'Litre', 1, 6), (578, 'Imperial units', 1, 6), (590, 'United States customary units', 1, 6), (622, 'Gallon', 1, 6), (630, 'Quart', 1, 6), (637, 'Cubic inch', 1, 6), (668, 'Length', 1, 6), (819, 'Fluid', 1, 6), (1064, 'Three dimensional', 2, 4), (1135, 'Arithmetic', 2, 4), (1146, 'Formula', 2, 4), (1214, 'Integral calculus', 2, 4), (1278, 'Zero-dimensional space', 2, 4), (1285, 'One-dimensional space', 2, 4), (1294, 'Two-dimensional', 2, 4), (1337, 'Four-dimensional space', 2, 4)]","['Three-dimensional space', 'SI derived unit']"
WKB approximation,"[(3, 'Mathematical physics', 0, 0), (234, 'Quantum mechanics', 0, 1)]",['Mathematical physics']
Wave equation,"[(217, 'Partial differential equation', 2, 2), (270, 'Wave', 2, 2), (279, 'Standing wave', 2, 2), (320, 'Classical physics', 2, 3), (349, 'Mechanical waves', 2, 3), (372, 'Water', 2, 3), (385, 'Sound waves', 2, 4), (401, 'Seismic waves', 2, 4), (452, 'Light', 2, 4), (491, 'Acoustics', 2, 4), (502, 'Electromagnetism', 2, 4), (524, 'Fluid dynamics', 2, 4), (665, 'One-way wave equation', 2, 5)]","['Partial differential equation', 'Wave', 'Standing wave']"
Weighing matrix,"[(3, 'Mathematics', 0, 0), (372, 'Transpose', 2, 2), (462, 'Identity matrix', 2, 3), (924, 'Balance scale', 3, 2), (943, 'Variance', 3, 2)]",['Transpose']
Weyl tensor,"[(3, 'Differential geometry', 0, 0), (65, 'Hermann Weyl', 0, 0), (35, 'Curvature', 0, 0), (115, 'Spacetime', 0, 0), (147, 'Pseudo-Riemannian manifold', 0, 0), (185, 'Riemann curvature tensor', 0, 1), (241, 'Tidal force', 0, 1), (291, 'Geodesic', 0, 1), (518, 'Ricci curvature', 0, 3), (538, 'Trace (linear algebra)', 0, 3), (695, 'Traceless', 0, 3), (45, 'Tensor', 0, 0), (855, 'Tensor contraction#Metric contraction', 0, 4), (1027, 'General relativity', 1, 2), (1144, 'Einstein field equation', 1, 2), (1203, 'Gravitational waves', 1, 2), (1344, 'Ricci-flat manifold', 1, 2), (1388, 'Method of characteristics', 1, 2), (1433, 'Einstein manifold', 1, 2), (1658, 'Conformally flat', 2, 4), (1691, 'Local coordinate system', 2, 4), (1814, 'Nordstr%C3%B6m%27s theory of gravitation', 2, 4), (1874, 'General relativity', 2, 4)]","['Differential geometry', 'Curvature', 'Spacetime', 'Pseudo-Riemannian manifold', 'Tensor']"
Whole number,,[]
Y-intercept,"[(3, 'Analytic geometry', 0, 0), (203, 'Graph of a function', 0, 0), (226, 'Relation (mathematics)', 0, 0), (264, 'Coordinate system', 0, 0)]","['Analytic geometry', 'Graph of a function', 'Relation (mathematics)', 'Coordinate system']"
Z-matrix (mathematics),"[(3, 'Mathematics', 0, 0), (31, 'Matrix (mathematics)', 0, 0), (336, 'Metzler matrix', 2, 1), (354, 'Quasipositive matrix', 2, 1), (562, 'Jacobian matrix and determinant', 3, 2), (745, 'L-matrix', 4, 4), (757, 'M-matrix', 4, 4), (769, 'P-matrix', 4, 4), (781, 'Hurwitz matrix', 4, 4), (802, 'Metzler matrix', 4, 4), (1022, 'Nonsingular', 4, 4), (769, 'P-matrix', 4, 4), (1166, 'Quantum complexity theory', 5, 1)]",['Matrix (mathematics)']
Zero-dimensional space,"[(1710, 'Mathematics', 1, 2), (1742, 'Topological space', 1, 2), (1730, 'Dimension', 1, 2), (2002, 'Point (geometry)', 1, 2)]","['Topological space', 'Dimension', 'Point (geometry)']"
Zorn's lemma,"[(76, 'Set theory', 1, 0), (105, 'Partially ordered set', 1, 1), (138, 'Upper bound', 1, 1), (161, 'Chain (order theory)', 1, 1), (183, 'Total order', 1, 1), (199, 'Subset', 1, 1), (241, 'Maximal element', 1, 1), (262, 'Lemma (mathematics)', 2, 1), (293, 'Axiom of choice', 2, 1), (313, 'Kazimierz Kuratowski', 2, 1), (363, 'Max August Zorn', 2, 1), (468, 'Hahn%E2%80%93Banach theorem', 2, 1), (491, 'Functional analysis', 2, 1), (535, 'Vector space', 2, 1), (554, 'Basis (linear algebra)', 2, 1), (564, 'Tychonoff%27s theorem', 2, 2), (587, 'Topology', 2, 2), (626, 'Compact space', 2, 2), (673, 'Abstract algebra', 2, 2), (700, 'Ring (algebra)', 2, 2), (756, 'Maximal ideal', 2, 2), (785, 'Field (mathematics)', 2, 2), (798, 'Algebraic closure', 2, 2), (854, 'Well-ordering theorem', 3, 2), (892, 'Axiom of choice', 3, 2), (938, 'Zermelo%E2%80%93Fraenkel set theory', 3, 2), (1099, 'Hausdorff%27s maximum principle', 3, 2)]",['Set theory']
Additive identity,"[(3, 'Mathematics', 0, 0), (43, 'Set (mathematics)', 0, 0), (73, 'Operation (mathematics)', 0, 0), (86, 'Addition', 0, 0), (101, 'Element (mathematics)', 0, 0), (225, '0 (number)', 0, 1), (232, 'Elementary mathematics', 0, 1), (357, 'Group (mathematics)', 0, 1), (368, 'Ring (mathematics)', 0, 1)]","['Set (mathematics)', 'Operation (mathematics)', 'Addition', 'Element (mathematics)']"
Additive inverse,"[(42, 'Number', 0, 0), (76, 'Addition', 0, 0), (95, '0 (number)', 0, 0), (195, 'Real number', 0, 2), (156, 'Sign (mathematics)', 0, 1), (274, 'Positive number', 0, 2), (333, 'Negative number', 0, 2), (362, 'Zero', 0, 3), (442, 'Unary operation', 1, 6), (448, 'Minus sign', 1, 6), (468, '#Relation to subtraction', 1, 6), (838, 'Inverse element', 3, 2), (864, 'Binary operation', 3, 2), (903, '#Formal definition', 3, 2), (952, 'Generalization', 3, 2), (1041, 'Function composition', 3, 2), (1069, 'Identity function', 3, 2)]","['Number', 'Addition', '0 (number)']"
